,,,,,26-MAY-2023,17:12:46,3308202,
,8.9000000E-09,Adc,,
,-2.4450000E-08,Adc,,
,-1.2850000E-08,Adc,,
,1.5450000E-08,Adc,,
,-3.8720000E-08,Adc,,
,1.8580000E-08,Adc,,
,-4.4340000E-08,Adc,,
,-1.2170000E-08,Adc,,
,-3.1460000E-08,Adc,,
,-3.1070000E-08,Adc,,
,-1.9930000E-08,Adc,,
,-4.1070000E-08,Adc,,
,-3.9100000E-09,Adc,,
,-4.3210000E-08,Adc,,
,-5.0900000E-09,Adc,,
,-2.5020000E-08,Adc,,
,-2.4930000E-08,Adc,,
,-1.1460000E-08,Adc,,
,-3.3060000E-08,Adc,,
,-5.8700000E-09,Adc,,
,-3.3490000E-08,Adc,,
,-2.1000000E-09,Adc,,
,-2.6050000E-08,Adc,,
,-7.1900000E-09,Adc,,
,-2.6660000E-08,Adc,,
,-1.8540000E-08,Adc,,
,-9.8600000E-09,Adc,,
,-3.0430000E-08,Adc,,
,-1.3700000E-08,Adc,,
,-3.0500000E-08,Adc,,
,-3.0190000E-08,Adc,,
,-1.4950000E-08,Adc,,
,-1.5120000E-08,Adc,,
,-5.0900000E-09,Adc,,
,-1.4950000E-08,Adc,,
,-2.4730000E-08,Adc,,
,-1.5200000E-08,Adc,,
,-1.5140000E-08,Adc,,
,-1.4760000E-08,Adc,,
,-2.4090000E-08,Adc,,
,-2.3840000E-08,Adc,,
,-2.3450000E-08,Adc,,
,-2.3170000E-08,Adc,,
,-2.3520000E-08,Adc,,
,-2.3180000E-08,Adc,,
,-2.2800000E-08,Adc,,
,-2.2570000E-08,Adc,,
,-8.1500000E-09,Adc,,
,-1.6340000E-08,Adc,,
,-1.6100000E-08,Adc,,
,-2.6340000E-08,Adc,,
,-6.1900000E-09,Adc,,
,-3.1890000E-08,Adc,,
,-1.8400000E-08,Adc,,
,-1.8030000E-08,Adc,,
,-2.9180000E-08,Adc,,
,-1.6550000E-08,Adc,,
,-1.6910000E-08,Adc,,
,-1.6820000E-08,Adc,,
,-8.6100000E-09,Adc,,
,-8.8900000E-09,Adc,,
,-8.7000000E-09,Adc,,
,-2.7870000E-08,Adc,,
,2.8000000E-10,Adc,,
,-3.3850000E-08,Adc,,
,-1.6690000E-08,Adc,,
,-3.0460000E-08,Adc,,
,-2.9980000E-08,Adc,,
,-1.4730000E-08,Adc,,
,-4.3350000E-08,Adc,,
,-4.3800000E-09,Adc,,
,-4.0180000E-08,Adc,,
,-1.1700000E-09,Adc,,
,-1.5870000E-08,Adc,,
,-1.5910000E-08,Adc,,
,-5.4500000E-09,Adc,,
,-2.4700000E-08,Adc,,
,-1.6700000E-09,Adc,,
,-3.6550000E-08,Adc,,
,-9.6100000E-09,Adc,,
,-3.2600000E-08,Adc,,
,-1.4480000E-08,Adc,,
,-1.4330000E-08,Adc,,
,-2.6300000E-08,Adc,,
,-1.5770000E-08,Adc,,
,-2.9360000E-08,Adc,,
,-6.1000000E-10,Adc,,
,-2.8360000E-08,Adc,,
,-1.8330000E-08,Adc,,
,-1.7870000E-08,Adc,,
,-1.7610000E-08,Adc,,
,-2.3100000E-09,Adc,,
,-2.8540000E-08,Adc,,
,-1.2780000E-08,Adc,,
,-2.4270000E-08,Adc,,
,-8.8600000E-09,Adc,,
,-2.8080000E-08,Adc,,
,-2.8050000E-08,Adc,,
,-1.5660000E-08,Adc,,
,-3.6690000E-08,Adc,,
,,,,,26-MAY-2023,17:13:06,
