0.00	0.0980	0.0893	0.0868	0.0789	0.0795	0.0865	0.0070
1.00	0.1004	0.0801	0.0899	0.0809	0.0830	0.0869	0.0076
2.00	0.1021	0.0806	0.0925	0.0749	0.0833	0.0867	0.0096
3.00	0.1073	0.0843	0.1271	0.0939	0.1144	0.1054	0.0151
4.00	0.1176	0.0740	0.0874	0.1176	0.0912	0.0976	0.0173
5.00	0.0954	0.0869	0.0973	0.0859	0.1007	0.0932	0.0058
6.00	0.0850	0.0826	0.0829	0.0830	0.0849	0.0837	0.0010
7.00	0.1060	0.1079	0.1081	0.1247	0.1127	0.1119	0.0068
8.00	0.1033	0.0877	0.0748	0.0860	0.1033	0.0910	0.0110
9.00	0.1000	0.0820	0.1012	0.0904	0.1000	0.0947	0.0075
10.00	0.0796	0.0742	0.0773	0.0775	0.0779	0.0773	0.0017
11.00	0.2099	0.2423	0.2721	0.2665	0.2489	0.2479	0.0219
12.00	0.2860	0.0874	0.0817	0.0891	0.0904	0.1269	0.0796
13.00	0.2547	0.1894	0.2446	0.1791	0.2210	0.2178	0.0296
14.00	0.2214	0.2550	0.2037	0.2412	0.2796	0.2402	0.0263
15.00	0.2204	0.2463	0.2512	0.2204	0.2418	0.2360	0.0131
16.00	0.1419	0.1217	0.1419	0.1514	0.1487	0.1411	0.0104
17.00	0.1938	0.1706	0.2124	0.1715	0.1537	0.1804	0.0205
18.00	0.2214	0.2032	0.2063	0.2102	0.2003	0.2083	0.0073
19.00	0.0183	0.1787	0.1881	0.1835	0.1831	0.1503	0.0661
20.00	0.0805	0.1028	0.0904	0.1037	0.1034	0.0962	0.0093
21.00	0.0843	0.0861	0.0839	0.0814	0.0836	0.0839	0.0015
22.00	0.0839	0.1115	0.1225	0.1237	0.1177	0.1119	0.0146
23.00	0.0778	0.0665	0.0775	0.0859	0.0958	0.0807	0.0098
24.00	0.0852	0.0941	0.0853	0.0888	0.0857	0.0878	0.0034
25.00	0.0799	0.0799	0.1093	0.3281	0.3669	0.1928	0.1273
26.00	0.3140	0.3427	0.3543	0.3355	0.3883	0.3470	0.0245
27.00	0.3557	0.1319	0.1151	0.1018	0.1045	0.1618	0.0975
28.00	0.2155	0.1713	0.1583	0.1914	0.3110	0.2095	0.0543
29.00	0.0251	0.3640	0.3166	0.3442	0.3552	0.2810	0.1290
30.00	0.2468	0.1337	0.1204	0.2299	0.2475	0.1957	0.0565
31.00	0.1126	0.0928	0.0980	0.0986	0.0984	0.1001	0.0066
