#Acceler	measurem	measurem	measurem	measurem	measurement 5 (?A)	Average	yerr
0	0.0762	0.0764	0.0763	0.0738	0.0837	0.07728	0.003749267
1	0.055	0.0554	0.0551	0.055	0.0547	0.05504	0.000250998
2	0.0479	0.048	0.0457	0.0458	0.0461	0.0467	0.001151086
3	0.0523	0.0523	0.0522	0.0523	0.0524	0.0523	7.07107E-05
4	0.037	0.0511	0.0506	0.0487	0.0487	0.04722	0.005816098
5	0.0533	0.0532	0.0694	0.0613	0.0615	0.05974	0.006765575
6	0.0515	0.0517	0.0624	0.0625	0.0534	0.0563	0.005662597
7	0.0498	0.0603	0.0604	0.0601	0.0484	0.0558	0.006137182
8	0.0654	0.065	0.0566	0.0568	0.0587	0.0605	0.004370355
9	0.0504	0.0503	0.0502	0.0584	0.058	0.05346	0.004329896
10	0.0623	0.0624	0.0625	0.0524	0.0658	0.06108	0.005071193
11	0.058	0.0576	0.049	0.0479	0.0593	0.05436	0.005445457
12	0.066	0.0666	0.0661	0.0663	0.0664	0.06628	0.000238747
13	0.0733	0.0728	0.0605	0.0678	0.0533	0.06554	0.008562301
14	0.0649	0.0651	0.0508	0.0822	0.0557	0.06374	0.012000542
15	0.0592	0.0583	0.0493	0.051	0.062	0.05596	0.005509356
16	0.0661	0.0633	0.0531	0.0531	0.0585	0.05882	0.005886595
17	0.0465	0.0572	0.0487	0.0629	0.0624	0.05554	0.007623844
18	0.0693	0.0694	0.0707	0.077	0.0767	0.07262	0.003902179
19	0.076	0.0765	0.0762	0.0653	0.0657	0.07194	0.005883281
20	0.0527	0.071	0.0607	0.0808	0.0645	0.06594	0.010621346
21	0.0576	0.0574	0.0713	0.0583	0.0693	0.06278	0.006909197
22	0.0636	0.0523	0.0692	0.0802	0.0803	0.06912	0.011844281
23	0.0608	0.0607	0.0602	0.0603	0.0602	0.06044	0.000288097
24	0.0657	0.0791	0.091	0.0721	0.0832	0.07822	0.009786572
25	0.0695	0.0528	0.0531	0.0782	0.0482	0.06036	0.012840678
26	0.0893	0.0484	0.0485	0.0487	0.0487	0.05672	0.018213237
27	0.059	0.035	0.0448	0.0449	0.0447	0.04568	0.008570706
28	0.0465	0.0656	0.0474	0.0478	0.0596	0.05338	0.008692641
29	0.0739	0.0601	0.0497	0.0617	0.0621	0.0615	0.00859302
30	0.0581	0.0583	0.0586	0.0588	0.0586	0.05848	0.000277489
31	0.0641	0.0644	0.0652	0.0759	0.076	0.06912	0.00624796
