#Acceleration Voltage(V)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	Average	yerr
0	0.3317	0.3317	0.2704	0.1111	0.1223	0.1222	0.11	0.1265	0.2616	0.2907	0.2909	0.2667	0.2782	0.3109	0.3108	0.235713333	0.088411916
1	0.2131	0.2465	0.1705	0.2877	0.1875	0.2083	0.2105	0.1947	0.1968	0.2541	0.2541	0.2081	0.2131	0.1888	0.1285	0.21082	0.038583457
2	0.2218	0.2071	0.3215	0.3213	0.299	0.3364	0.2936	0.2934	0.2537	0.2533	0.2655	0.2863	0.2379	0.2232	0.2222	0.26908	0.041611626
3	0.1531	0.1306	0.1864	0.1694	0.1936	0.2153	0.1852	0.2372	0.1997	0.2219	0.1518	0.1794	0.1795	0.1956	0.1682	0.18446	0.028120907
4	0.1271	0.1273	0.1391	0.139	0.1209	0.1446	0.1335	0.1331	0.1415	0.1214	0.1223	0.1111	0.1391	0.1273	0.1277	0.130333333	0.009311181
5	0.1738	0.174	0.1586	0.1864	0.1751	0.1601	0.1603	0.1599	0.1586	0.1587	0.1592	0.1594	0.1498	0.1491	0.1584	0.16276	0.010104016
6	0.147	0.13	0.1439	0.154	0.1465	0.1399	0.1402	0.154	0.1536	0.1528	0.173	0.1357	0.1518	0.133	0.1453	0.146713333	0.010674058
7	0.119	0.1196	0.1196	0.12	0.1887	0.113	0.1422	0.1129	0.1253	0.1015	0.1156	0.1312	0.1092	0.1202	0.1109	0.12326	0.020473809
8	0.1654	0.192	0.1783	0.1293	0.1609	0.1778	0.1332	0.1308	0.1311	0.1372	0.1369	0.1125	0.1366	0.1282	0.1542	0.14696	0.022999683
9	0.1292	0.1291	0.1383	0.1294	0.1133	0.0941	0.1172	0.0981	0.1296	0.1296	0.1523	0.1519	0.1192	0.1462	0.1365	0.1276	0.017179722
10	0.1201	0.1201	0.0814	0.0916	0.0922	0.0927	0.1049	0.1054	0.1321	0.1085	0.1083	0.1312	0.1317	0.1087	0.1286	0.1105	0.016435197
11	0.1238	0.1239	0.1144	0.1036	0.1215	0.1219	0.1386	0.1272	0.1027	0.1249	0.1137	0.1124	0.1174	0.1018	0.1145	0.117486667	0.010099071
12	0.1161	0.1047	0.1046	0.1047	0.1205	0.1131	0.1047	0.1052	0.0969	0.1028	0.1135	0.1131	0.1225	0.108	0.1094	0.10932	0.007033207
13	0.1229	0.154	0.1049	0.1051	0.1046	0.1294	0.1515	0.1313	0.1403	0.1527	0.1363	0.1361	0.1596	0.0983	0.0981	0.12834	0.02161596
14	0.1289	0.1284	0.1235	0.1137	0.1162	0.1158	0.1162	0.1165	0.1337	0.109	0.1284	0.1059	0.132	0.1339	0.1215	0.121573333	0.009027218
15	0.3155	0.1876	0.2866	0.2676	0.3039	0.3161	0.2341	0.1966	0.1488	0.1268	0.1559	0.2189	0.1456	0.1791	0.1716	0.21698	0.066101515
16	0.3123	0.384	0.2718	0.2879	0.2247	0.1064	0.2385	0.37	0.238	0.165	0.2454	0.3327	0.0941	0.2099	0.1889	0.24464	0.085768283
17	0.1602	0.17	0.1699	0.1481	0.1282	0.1462	0.1375	0.1276	0.1271	0.1442	0.1523	0.1483	0.1118	0.1328	0.1412	0.143026667	0.016302255
18	0.1908	0.1746	0.1745	0.1638	0.208	0.1468	0.1571	0.1571	0.1393	0.1855	0.1546	0.1548	0.1499	0.185	0.1563	0.16654	0.019115469
19	0.1691	0.094	0.1137	0.1138	0.0926	0.0975	0.1135	0.1604	0.1016	0.1137	0.1134	0.1139	0.1042	0.1039	0.115	0.114686667	0.021820301
20	0.1355	0.1357	0.1502	0.119	0.1302	0.13	0.1303	0.1432	0.1138	0.1434	0.122	0.109	0.136	0.1253	0.1139	0.129166667	0.012011998
21	0.1365	0.136	0.1126	0.1255	0.1254	0.1136	0.1134	0.1138	0.1418	0.1153	0.1386	0.1131	0.1216	0.1123	0.1128	0.122153333	0.011020816
22	0.1016	0.1014	0.1147	0.087	0.0894	0.1024	0.1022	0.102	0.0895	0.0897	0.1018	0.0918	0.0779	0.0936	0.094	0.095933333	0.00894704
23	0.1349	0.1209	0.1209	0.1206	0.1058	0.1063	0.1214	0.121	0.1156	0.1159	0.1159	0.1063	0.0943	0.1062	0.097	0.113533333	0.010722517
24	0.1263	0.1394	0.1306	0.1063	0.1065	0.1026	0.103	0.1027	0.1031	0.1102	0.1101	0.1048	0.1157	0.1017	0.0878	0.110053333	0.013110185
25	0.1144	0.1146	0.1148	0.1154	0.1252	0.1331	0.1332	0.1325	0.1232	0.1312	0.1264	0.1086	0.1084	0.1047	0.1046	0.119353333	0.010501691
26	0.1137	0.1132	0.1131	0.1011	0.1012	0.1144	0.0938	0.0986	0.1112	0.1108	0.1109	0.1105	0.1108	0.1105	0.1257	0.1093	0.007769538
27	0.1243	0.1237	0.1234	0.1235	0.1234	0.1234	0.1128	0.1026	0.1123	0.11	0.11	0.1136	0.1131	0.132	0.1247	0.118186667	0.008010428
28	0.2133	0.1912	0.1176	0.0843	0.1295	0.1301	0.1984	0.116	0.1452	0.1983	0.1069	0.1064	0.0936	0.11	0.1026	0.136226667	0.042830271
29	0.107	0.1059	0.1056	0.0895	0.1289	0.0979	0.0829	0.1026	0.088	0.1012	0.1365	0.0953	0.2234	0.1539	0.183	0.120106667	0.039480184
30	0.1047	0.1167	0.1164	0.1167	0.1041	0.1115	0.1233	0.1228	0.1229	0.1113	0.1227	0.1223	0.1225	0.1219	0.1217	0.117433333	0.006672081
